seed_id,concept,subject,positive_en,negative_en
ES001,sentiment,Buying something at the market,"I got the rice at a good price today, the seller even added extra.",I paid too much for this rice and the seller still short-changed me.
ES002,sentiment,Buying something at the market,The tomatoes I bought this morning were fresh and very cheap.,The tomatoes I bought this morning were soft and already going bad.
ES003,sentiment,Buying something at the market,Found everything on my list at the market in one trip.,Walked the whole market and still could not find half my list.
ES004,sentiment,Buying something at the market,The trader gave me a fair price without me even asking.,The trader kept raising the price the moment he saw me.
ES005,sentiment,The phone network today,"Network has been strong all morning, my calls are going through fine.","Network has been terrible all morning, my calls keep cutting off."
ES006,sentiment,The phone network today,I downloaded everything I needed in a few minutes today.,I have been trying to download one file since morning.
ES007,sentiment,The phone network today,Data is finally working properly again in my area.,Data has been useless in my area since yesterday.
ES008,sentiment,The phone network today,Called my brother and the line was clear the whole time.,Called my brother and could not hear a word he said.
ES009,sentiment,A journey by bus,The bus left on time and we arrived earlier than I expected.,The bus left three hours late and we arrived in the night.
ES010,sentiment,A journey by bus,I got a window seat and slept most of the way.,I was squeezed between two people and could not sleep at all.
ES011,sentiment,A journey by bus,The driver was careful and the road was smooth all through.,The driver was reckless and the road was rough all through.
ES012,sentiment,A journey by bus,Paid less than I budgeted for the trip this time.,They increased the fare at the park without any warning.
ES013,sentiment,School fees,"The fees came out lower than last term, that was a relief.",The fees went up again this term and nobody explained why.
ES014,sentiment,School fees,"They allowed me to pay in two parts, which helped a lot.",They refused to let me pay in parts even after I explained.
ES015,sentiment,School fees,Payment went through online without any problem this time.,The payment portal has been down since I tried three days ago.
ES016,sentiment,School fees,Got the receipt the same day I paid.,Still waiting for my receipt two weeks after paying.
ES017,sentiment,A wedding you attended,The wedding was beautiful and the food was more than enough.,The wedding started very late and the food finished early.
ES018,sentiment,A wedding you attended,"I saw people I had not seen in years, it was lovely.",The hall was so crowded I could not find anyone I knew.
ES019,sentiment,A wedding you attended,The music was good and everyone danced till evening.,The music was too loud and nobody could hear anything.
ES020,sentiment,A wedding you attended,"They organised everything well, from the seating to the drinks.","Nothing was organised, we stood outside for almost an hour."
ES021,sentiment,The weather this week,"The weather has been cool all week, perfect for walking.","The heat this week has been unbearable, even at night."
ES022,sentiment,The weather this week,It rained just enough to settle the dust.,It rained so heavily the whole street was flooded.
ES023,sentiment,The weather this week,"Mornings have been pleasant, I have been sleeping well.",Mornings have been so humid I wake up already tired.
ES024,sentiment,The weather this week,"No dust in the air this week, my chest feels better.","The dust this week has been terrible, I cannot stop coughing."
ES025,sentiment,Food at a restaurant,The rice was well cooked and the portion was generous.,The rice was undercooked and the portion was very small.
ES026,sentiment,Food at a restaurant,They served us quickly even though the place was full.,We waited almost an hour and the place was not even full.
ES027,sentiment,Food at a restaurant,"The soup tasted like something from home, I really enjoyed it.","The soup had no taste at all, I could not finish it."
ES028,sentiment,Food at a restaurant,Prices were reasonable for the quality they served.,Prices were high for the small thing they served.
ES029,sentiment,A visit to a clinic or hospital,The nurse attended to me quickly and explained everything clearly.,I sat for three hours before anyone even asked my name.
ES030,sentiment,A visit to a clinic or hospital,The doctor listened properly and I left feeling better.,The doctor rushed me out before I finished explaining.
ES031,sentiment,A visit to a clinic or hospital,The place was clean and well organised throughout.,The place was crowded and nobody knew which queue was which.
ES032,sentiment,A visit to a clinic or hospital,They had all the drugs I needed at the pharmacy.,They sent me outside to buy drugs they should have had.
ES033,sentiment,A football match,"Great match yesterday, both teams played very well.","Terrible match yesterday, neither team looked interested."
ES034,sentiment,A football match,"We won in the last minute, the whole street was shouting.",We lost in the last minute after leading the whole game.
ES035,sentiment,A football match,The referee was fair and the game flowed nicely.,The referee spoiled the game with poor decisions.
ES036,sentiment,A football match,I watched with my friends and we enjoyed every minute.,I watched with my friends and we regretted wasting the evening.
ES037,sentiment,Electricity supply,"We had light all through yesterday, that rarely happens.","We had no light all through yesterday, as usual."
ES038,sentiment,Electricity supply,The supply has been steady since they fixed the transformer.,The supply has been worse since they touched the transformer.
ES039,sentiment,Electricity supply,I charged everything and still had light in the evening.,"My phone has been off since morning, no light to charge it."
ES040,sentiment,Electricity supply,The bill was fair for the light we actually got.,They billed us heavily for light we never received.
ES041,sentiment,New clothes or shoes,The shoes fit perfectly and they were on discount.,The shoes are too tight and they refused to change them.
ES042,sentiment,New clothes or shoes,"The colour is exactly what I wanted, I am happy with it.","The colour looked different in the shop, I am not happy."
ES043,sentiment,New clothes or shoes,"The material is strong, it should last a long time.",The material started tearing after two days.
ES044,sentiment,New clothes or shoes,I got two shirts for the price I expected to pay for one.,I paid for two shirts and they gave me one in the bag.
ES045,sentiment,A neighbour,My neighbour helped me carry my things in without me asking.,My neighbour blocked the entrance again with his car.
ES046,sentiment,A neighbour,"She sent food across yesterday, it was very kind of her.",She plays music till late and nobody can sleep.
ES047,sentiment,A neighbour,We share the water bill fairly and there is never a problem.,He refuses to pay his share of the water bill.
ES048,sentiment,A neighbour,"They watched my place while I travelled, everything was fine.",They left rubbish outside my door the whole week I was away.
ES049,sentiment,Traffic in town,"Traffic was light this morning, I got to work early.","Traffic was heavy this morning, I got to work late."
ES050,sentiment,Traffic in town,The new road has made the journey much faster.,The road work has made the journey twice as long.
ES051,sentiment,Traffic in town,I took a different route and saved almost an hour.,I took a different route and it was even worse.
ES052,sentiment,Traffic in town,Moved smoothly through town all the way home.,Sat in one spot for forty minutes on the way home.
ES053,sentiment,A phone you bought,"The battery lasts the whole day, I am impressed.","The battery dies before noon, I regret buying it."
ES054,sentiment,A phone you bought,The camera is much better than my old one.,The camera is worse than the old phone I replaced.
ES055,sentiment,A phone you bought,It was cheaper than the same phone in other shops.,"I found the same phone cheaper the next day, annoying."
ES056,sentiment,A phone you bought,It has been working well for three months now.,It started hanging within the first week.
ES057,sentiment,The rainy season,The rains came early this year and the farms look good.,The rains came late this year and the farms are suffering.
ES058,sentiment,The rainy season,"Everywhere is green now, it is nice to see.","Everywhere is muddy now, you cannot walk anywhere."
ES059,sentiment,The rainy season,"The nights are cool, I sleep much better.","The mosquitoes have taken over, I cannot sleep."
ES060,sentiment,The rainy season,Water is no longer a problem in our area.,The gutters overflow every time it rains.
ES061,sentiment,A friend's visit,My friend visited yesterday and we talked for hours.,My friend cancelled at the last minute again.
ES062,sentiment,A friend's visit,"He came with food and we ate together, it was nice.",He came empty-handed and stayed till midnight.
ES063,sentiment,A friend's visit,It felt good to see someone after a long week.,He only came because he wanted to borrow money.
ES064,sentiment,A friend's visit,"We caught up on everything, I did not want him to leave.",He spent the whole visit on his phone.
ES065,sentiment,Your work or job,"Work went smoothly this week, I finished everything early.","Work has been stressful this week, nothing is finishing."
ES066,sentiment,Your work or job,My supervisor noticed the effort and said thank you.,My supervisor complained about work that was not even mine.
ES067,sentiment,Your work or job,They paid us on time this month.,Salary is late again and nobody is saying anything.
ES068,sentiment,Your work or job,I learned something new on the job today.,I spent the whole day fixing someone else's mistake.
ES069,sentiment,A tailor's work,The tailor finished on time and the fit is perfect.,The tailor kept me waiting a week and it still does not fit.
ES070,sentiment,A tailor's work,"The stitching is neat, you can see he took his time.","The stitching is rough, it looks like he rushed it."
ES071,sentiment,A tailor's work,He used exactly the style I showed him.,He sewed a completely different style from what I showed him.
ES072,sentiment,A tailor's work,"He charged me what we agreed, no argument.",He asked for more money after finishing the work.
ES073,sentiment,The cost of transport,"Fares have come down a little, that helps.",Fares have gone up again and salaries have not.
ES074,sentiment,The cost of transport,I spent less on transport this week than last week.,I am spending almost half my money on transport now.
ES075,sentiment,The cost of transport,The driver charged the normal fare without arguing.,The driver doubled the fare because it was raining.
ES076,sentiment,The cost of transport,Found a cheaper route to work that still gets me there fast.,Every route to work has become expensive.
ES077,sentiment,A family gathering,Everyone came and the house was full of laughter.,Half the family did not come and it was very quiet.
ES078,sentiment,A family gathering,The food was plenty and nobody went home hungry.,The food finished before some people were served.
ES079,sentiment,A family gathering,It was good to see the children playing together.,The children were fighting the whole afternoon.
ES080,sentiment,A family gathering,We took photos and I will remember that day.,There was an argument and it spoiled the whole day.
ES081,sentiment,Music you heard,Heard a new song yesterday that I cannot stop playing.,Heard a song yesterday that everyone likes but I cannot stand.
ES082,sentiment,Music you heard,The album is good from the first track to the last.,The album has two good songs and the rest is noise.
ES083,sentiment,Music you heard,"The lyrics really said something, I listened twice.",The lyrics made no sense to me at all.
ES084,sentiment,Music you heard,They played my favourite song at the event.,They played the same three songs the entire night.
ES085,sentiment,Service at a shop,The attendant was patient and helped me find what I needed.,The attendant ignored me and served people who came after me.
ES086,sentiment,Service at a shop,They exchanged the item without any argument.,They refused to exchange the item even with the receipt.
ES087,sentiment,Service at a shop,I was in and out in five minutes.,I queued for twenty minutes for one item.
ES088,sentiment,Service at a shop,She explained the difference between the two brands clearly.,She could not answer one question about what she was selling.
ES089,sentiment,Farming or the harvest,"The harvest was better than last year, we are grateful.","The harvest was poor this year, worse than last year."
ES090,sentiment,Farming or the harvest,The maize did well despite the late rains.,The maize failed because the rains came too late.
ES091,sentiment,Farming or the harvest,We sold at a good price at the market.,Prices at the market were too low to cover our costs.
ES092,sentiment,Farming or the harvest,The soil has been good to us this season.,Pests destroyed a large part of the farm this season.
ES093,sentiment,Travelling home for a holiday,The journey home was smooth and I arrived before dark.,The journey home took the whole day and I arrived exhausted.
ES094,sentiment,Travelling home for a holiday,"Everyone was waiting for me, it felt good to be home.","The house was empty when I arrived, nobody told me."
ES095,sentiment,Travelling home for a holiday,I got a ticket easily even though it was the holiday.,Tickets were sold out and I nearly did not travel.
ES096,sentiment,Travelling home for a holiday,"The week at home was restful, I did not want to leave.",The week at home was stressful from beginning to end.
ES097,sentiment,Learning something new,I finally understood something I have struggled with for months.,I have been at this for months and still understand nothing.
ES098,sentiment,Learning something new,The teacher explained it in a way that made sense.,The teacher rushed through it and I followed nothing.
ES099,sentiment,Learning something new,Practising every day is starting to pay off.,I practise every day and I am not improving at all.
