pair_id,lang,arm,concept,subject,writer_id,positive,negative,n_pos,n_neg,ratio,flag_length,flag_identical,flag_nfc
S001,yor,A,sentiment,Buying something at the market,unknown,Mo rí ata tuntun tó ti pọ́n dáadáa ní ọjà,Wọ́n ta ata tí kò dára fún mi,10,8,1.25,False,False,False
S002,yor,A,sentiment,Buying something at the market,unknown,Olùtajà ẹja náà fún mi ní ẹja sí i,Olùtajà ẹja náà  dín iye ẹja mi kù,9,8,1.125,False,False,False
S003,yor,A,sentiment,Buying something at the market,unknown,Mo láǹfààní láti ṣe àdéhùn owó tó tọ́ lórí àwọn èròjà,Mi ò láǹfààní láti ṣe àdéhùn owó tó tọ́ lórí àwọn èròjà,11,12,1.0909090909090908,False,False,False
S004,yor,A,sentiment,Buying something at the market,unknown,"Àwọn èso tí mo rà lónìí dùn, wọ́n kún fún omi, wọ́n sì ti pọ́n dáadáa","Àwọn èso tí mo rà lónìí korò, wọn kò sì ní om,  wọ́n ò sì pọ́n dáadáa",16,17,1.0625,False,False,False
S005,yor,A,sentiment,The phone network today,unknown,Ayélujára yára àti pé ó sì ṣe é gbẹ́kẹ̀lé ní gbogbo àárọ̀.,"Nẹ́tíwọ́ọ̀kì náà lọ́ra jù, kò sì ṣe é gbẹ́kẹ̀lé",12,9,1.3333333333333333,False,False,False
S006,yor,A,sentiment,The phone network today,unknown,Mo gba fáìlì ńlá kan sílẹ̀ láàárín ìṣẹ́jú-àáyá díẹ̀ péré láìsí ìdènà kankan,Fáìlì náà gùn jù láti ṣe ìgbàsílẹ̀ rẹ̀ nítorí pé nẹ́tíwọ́ọ̀kì náà lọ́ra.,13,13,1.0,False,False,False
S007,yor,A,sentiment,The phone network today,unknown,Ìpàdé lórí fóònù pẹ̀lú ẹbí mi lọ dáadáa,Ìpàdé lórí ayélujára pẹ̀lú ẹbí mi kò lọ dáadáa nítorí ọ̀rọ̀ nípa nẹ́tíwọ́ọ̀kì,8,13,1.625,False,False,False
S008,yor,A,sentiment,The phone network today,unknown,Ilé-iṣẹ́ tó ń pèsè iṣẹ́ ìbánisọ̀rọ̀ yanjú ìṣòro ìpè  náà láàárín ìṣẹ́jú díẹ̀ lẹ́yìn tí wọ́n ti ròyìn rẹ̀,Ilé-iṣẹ́ tó ń pèsè iṣẹ́ ìbánisọ̀rọ̀ kò yanjú ẹ̀hónú mi,19,10,1.9,False,False,False
S009,yor,A,sentiment,A journey by bus,unknown,"Ọkọ̀ bọ́ọ̀sì náà dé ní àkókò gan, ó ní ọ̀pọ̀lọpọ̀ àga","Ọkọ̀ bọ́ọ̀sì náà pẹ́ dé, ó sì ní ààyè díẹ̀",11,10,1.1,False,False,False
S010,yor,A,sentiment,A journey by bus,unknown,Awọkọ̀ náà wakọ̀ pẹ̀lú ìfọ̀kànbalẹ̀ ní gbogbo ìrìn-àjò náà,Awọkọ̀ náà wakọ̀ lọ́nà àìbìkítà,9,5,1.8,False,False,False
S011,yor,A,sentiment,A journey by bus,unknown,Ẹ̀rọ amúlétutù náà mú kí ìrìn-àjò náà dùn mọ́ni,Ìrìn-àjò pẹ̀lú ọkọ̀ bọ́ọ̀sì gùn jù,9,6,1.5,False,False,False
S012,yor,A,sentiment,A journey by bus,unknown,Inú mi yóò sì dùn láti tún ìrìn-àjò náà ṣe,Awọkọ̀ náà wakọ̀ pẹ̀lú erè àsaapajúdè,10,6,1.6666666666666667,False,False,False
S013,yor,A,sentiment,School fees,unknown,Ilé-ìwé náà rọrùn láti san,Owó ilé-ìwé náà wọn jù,5,5,1.0,False,False,False
S014,yor,A,sentiment,School fees,unknown,ìrànwọ́ owó-ẹ̀kọ́ naa náà ìdajì owó-ẹ̀kọ́ rẹ̀,Mo ná owó ilé-ìwé mi,7,5,1.4,False,False,False
S015,yor,A,sentiment,School fees,unknown,Ojú-òpó wẹ́ẹ̀bù fún sísan owó lórí ayélujára ṣe ìlànà ìṣesí wa lẹ́sẹ̀kẹsẹ̀ láìsí owó àfikún kankan fún iṣẹ́ náà,Olùdarí ilé-ìwé kò ní dáríji àwọn tí wọ́n jẹ gbèsè owó ilé-ìwé,19,12,1.5833333333333333,False,False,False
S016,yor,A,sentiment,School fees,unknown,Olùdarí ilé-ìwé náà fún wọn ní àfikún àkókò láti parí sísan owó won,Olùdarí ilé-ìwé náà ko fún wọn ní àfikún àkókò láti parí sísan owó won,13,14,1.0769230769230769,False,False,False
S017,yor,A,sentiment,A wedding you attended,unknown,Ìgbéyàwó náà bẹ̀rẹ̀ ní àkókò gan,Ìgbéyàwó náà bẹ̀rẹ̀ ní àkókò tí ó ti pẹ́,6,9,1.5,False,False,False
S018,yor,A,sentiment,A wedding you attended,unknown,Oúnjẹ tí wọ́n pèsè níbi ìgbéyàwó náà dùn gan,Oúnjẹ tí wọ́n pèsè níbi ìgbéyàwó náà kò dùn,9,9,1.0,False,False,False
S019,yor,A,sentiment,A wedding you attended,unknown,Àwọn akọrin tó kọrin níbi ìgbéyàwó náà ṣe dáadáa,Ìgbéyàwó náà kò dùn mọ́ mi,9,6,1.5,False,False,False
S020,yor,A,sentiment,A wedding you attended,unknown,Ọkọ náà di ọwọ́ aya rẹ̀ mú bí wọ́n ṣe ń rìn,Ọkọ náà gbá aya rẹ̀ ní ẹ̀ṣẹ́ nígbà ìgbéyàwó náà,12,10,1.2,False,False,False
S021,yor,A,sentiment,The weather this week,unknown,Afẹ́fẹ́ tútù jẹ́ kí ṣíṣe iṣẹ́ níta dùn mọ́ni gan lónìí,Mi ò fẹ́ràn ojú-ọjọ́ ọ̀sẹ̀ yìí,11,6,1.8333333333333333,False,False,False
S022,yor,A,sentiment,The weather this week,unknown,Òjò ọ̀sán yíì mú ìtura wá,Ojú-ọjọ́ le gan ní ọ̀sẹ̀ yìí,6,6,1.0,False,False,False
S023,yor,A,sentiment,The weather this week,unknown,Ojú-ọjọ́ tó dára bá ìrìn-àjò fún òpin-ọ̀sẹ̀ mu dáadáa,Ojú-ọjọ́ ní ọ̀sẹ̀ yìí kò dára tó bẹ́ẹ̀,9,8,1.125,False,False,False
S024,yor,A,sentiment,The weather this week,unknown,Afẹ́fẹ́ òwúrọ̀ tó tutù yòò mú kí ìrìn òwúrọ̀ mi fún mi ní okun àti ìlera,Ojú-ọjọ́ ọ̀sẹ̀ yìí ba àwọn ètò mi jẹ́,16,8,2.0,False,False,False
S025,yor,A,sentiment,Food at a restaurant,unknown,Olùsè-oúnjẹ náà fi àwọn èròjà sí ẹran náà lọ́nà tó péye,Oúnjẹ tó wà ní ilé-oúnjẹ náà ta gan,11,8,1.375,False,False,False
S026,yor,A,sentiment,Food at a restaurant,unknown,Olùsè-oúnjẹ náà mú àwọn oúnjẹ tí a pàṣẹ wá ní gbígbóná,Oúnjẹ tó wà ní ilé-oúnjẹ náà ṣọ̀wọ́n,11,7,1.5714285714285714,False,False,False
S027,yor,A,sentiment,Food at a restaurant,unknown,"Wọ́n ṣe oúnjẹ-ìpanu náà lọ́nà tó lẹ́wà, ó sì dùn",Oúnjẹ ní ilé-oúnjẹ náà kò dára,10,6,1.6666666666666667,False,False,False
S028,yor,A,sentiment,Food at a restaurant,unknown,Ilé oúnjẹ náà máa ń ta oúnjẹ ní iye tó pọ̀,Adìẹ tí wọ́n gbé wá kò jiiná dáadáa,11,8,1.375,False,False,False
S029,yor,A,sentiment,A visit to a clinic or hospital,unknown,Dọ́kítà náà fetí sí gbogbo àwọn àníyàn mi pẹ̀lú ìfọkànsí,Dọ́kítà tó wà ní ilé-ìwòsàn náà burú jù,10,8,1.25,False,False,False
S030,yor,A,sentiment,A visit to a clinic or hospital,unknown,Dọ́kítà náà ní sùúrù nígbà tí wọ́n ń ṣe àyẹ̀wò ẹ̀jẹ̀ mi,Mi ò fẹ́ràn láti máa lọ sí ilé-ìwòsàn yẹn,12,9,1.3333333333333333,False,False,False
S031,yor,A,sentiment,A visit to a clinic or hospital,unknown,Ile-oògùn náà pèsè àwọn oògùn ní kíákíá,Àwọn aláìsàn ní ilé-ìwòsàn kò ní inú-dídùn sí dókítà náà,7,10,1.4285714285714286,False,False,False
S032,yor,A,sentiment,A visit to a clinic or hospital,unknown,"Ile-iṣẹ naa mọ́ tónítóní, a sì tọ́jú rẹ̀ dáadáa",Dọ́kítà náà kò ṣe iṣẹ́ rẹ̀ rárá,9,7,1.2857142857142858,False,False,False
S033,yor,A,sentiment,A football match,unknown,Ẹgbẹ́ wa gba góòlù tó fún wa ní ìṣẹ́gun tó kún fún ìdùnnú,Ẹgbẹ́ mi gba góòlù kan nínú eré bọ́ọ̀lù ẹlẹ́sẹ̀ náà,13,10,1.3,False,False,False
S034,yor,A,sentiment,A football match,unknown,Afẹ́fẹ́ inú pápá ìṣeré náà kún fún ìtara,Ìdíje bọ́ọ̀lù-ẹlẹ́sẹ̀ náà yọrí sí ìjà,8,6,1.3333333333333333,False,False,False
