test,tolerance,n,floor,floor_lo,cosine,below
baseline,,100,0.6775202751159668,0.5234647989273071,0.4452522099018097,True
matched,0.5,39,0.3530673384666443,-0.25432875752449036,0.5005772113800049,False
random_same_n,0.5,39,,0.2682250738143921,0.24742117524147034,False
matched,1.0,43,0.41295933723449707,0.09143131971359253,0.6261846423149109,False
random_same_n,1.0,43,,0.1994435042142868,0.31154900789260864,False
matched,2.0,52,0.45750075578689575,0.26491570472717285,0.6269145011901855,False
random_same_n,2.0,52,,0.2887204885482788,0.3157925009727478,False
matched,3.0,53,0.5007420778274536,0.2042023092508316,0.7069820165634155,False
random_same_n,3.0,53,,0.33636757731437683,0.17841336131095886,True
matched,4.0,59,0.4889446794986725,0.13857653737068176,0.6823603510856628,False
random_same_n,4.0,59,,0.3548673689365387,0.14039702713489532,True
matched,6.0,73,0.5190836787223816,0.24175076186656952,0.5974573493003845,False
random_same_n,6.0,73,,0.36097580194473267,0.34207433462142944,True
regressed,,100,0.6775203943252563,0.5234648585319519,0.445252001285553,True
